srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.0,48839,149.171.126.3,5190,tcp,FIN,0.118241,1470,1728,31,29,5,4,-,94992.42969,108591.7734,22,14,255,255,896861646,3042553521,67,123,0,0,445.066033,15.695054,1424256515,1424256515,5.630524,9.037385,0.000788,0.000618,0.00017,0,0,,, ,7,9,1,7,1,1,2,,0
59.166.0.6,50367,149.171.126.6,53,udp,CON,0.000918,130,162,31,29,0,0,dns,566448.8125,705882.375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424258923,1424258923,0.014,0.002,0.0,0.0,0.0,0,0,,, ,1,4,4,2,1,1,2,,0
175.45.176.2,44388,149.171.126.14,25,tcp,FIN,1.081913,28564,1822,62,252,16,8,smtp,205657.9375,12866.09961,38,22,255,255,1584346361,302351672,752,83,0,0,2086.997347,65.368613,1424257778,1424257779,30.053138,49.594762,0.099286,0.03968,0.059606,0,1,,, ,1,1,1,1,1,1,1,Exploits,1
59.166.0.6,22595,149.171.126.3,25,tcp,FIN,0.044516,37306,3380,31,29,18,8,smtp,6575433.5,593045.1875,52,42,255,255,3402355239,1257954684,717,80,0,0,52.139633,2.759034,1424258180,1424258180,0.865451,1.072244,0.000676,0.00055,0.000126,0,0,,, ,1,1,2,6,1,1,2,,0
59.166.0.6,60328,149.171.126.6,6517,tcp,FIN,0.046439,320,1942,31,29,1,2,ftp-data,45995.82422,292857.3125,6,8,255,255,3881488973,1751135389,53,243,0,0,642.092172,15.725675,1424252518,1424252518,9.223,6.554429,0.000698,0.000555,0.000143,0,0,,, ,6,6,1,3,1,1,8,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,5E-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260153,1424260153,0.005,0.0,0.0,0.0,0.0,0,2,,, ,25,25,2,2,2,2,25,Generic,1
149.171.126.14,1043,175.45.176.1,53,udp,INT,5E-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424254937,1424254937,0.005,0.0,0.0,0.0,0.0,0,0,,, ,23,23,23,23,23,23,23,,0
59.166.0.3,65237,149.171.126.9,53,udp,CON,0.001017,146,178,31,29,0,0,dns,574238.0,700098.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424256126,1424256126,0.009,0.006,0.0,0.0,0.0,0,0,,, ,3,4,4,4,2,1,2,,0
59.166.0.6,29335,149.171.126.1,53,udp,CON,0.00098,146,178,31,29,0,0,dns,595918.375,726530.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424255978,1424255978,0.007,0.005,0.0,0.0,0.0,0,0,,, ,2,4,1,2,2,1,1,,0
59.166.0.0,21687,149.171.126.2,80,tcp,FIN,1.012927,1684,10168,31,29,3,5,http,12352.32129,75851.46094,14,18,255,255,458215031,459232934,120,565,1,3924,8769.750694,7699.344484,1424259545,1424259546,77.891075,59.552706,0.000666,0.000527,0.000139,0,0,4.0,, ,2,2,3,2,2,2,2,,0
59.166.0.9,25850,149.171.126.2,53805,tcp,FIN,0.060005,2750,28194,31,29,7,16,-,358370.125,3677293.5,44,46,255,255,1146837154,3296651437,63,613,0,0,79.712425,79.410274,1424259246,1424259246,1.388349,1.322333,0.000616,0.000499,0.000117,0,0,,, ,2,2,1,2,1,1,1,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,7E-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253977,1424253977,0.007,0.0,0.0,0.0,0.0,0,2,,, ,34,34,18,19,18,18,34,Generic,1
59.166.0.9,32063,149.171.126.5,53,udp,CON,0.000991,146,178,31,29,0,0,dns,589303.75,718466.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424252771,1424252771,0.003,0.007,0.0,0.0,0.0,0,0,,, ,5,2,3,2,1,1,2,,0
59.166.0.3,57430,149.171.126.1,65123,tcp,FIN,0.020945,2438,19414,31,29,7,13,-,906755.8125,7229983.5,38,40,255,255,4049982850,1900688563,64,485,0,0,41.956738,40.230672,1424259480,1424259480,0.573167,0.523179,0.00065,0.000533,0.000117,0,0,,, ,8,3,2,4,1,1,1,,0
59.166.0.4,52806,149.171.126.9,53,udp,CON,0.001005,146,178,31,29,0,0,dns,581094.5625,708457.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424253261,1424253261,0.001,0.009,0.0,0.0,0.0,0,0,,, ,2,2,3,3,2,1,2,,0
59.166.0.6,22972,149.171.126.2,65227,tcp,FIN,0.017963,2646,25684,31,29,7,15,-,1150364.625,11178979.0,42,44,255,255,3312243665,1171931344,63,584,0,0,26.953619,25.181278,1424260520,1424260520,0.441175,0.415262,0.000627,0.000514,0.000113,0,0,,, ,3,3,2,1,1,1,1,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,2E-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424258952,1424258952,0.002,0.0,0.0,0.0,0.0,0,0,,, ,20,20,19,19,19,9,20,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,3E-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252980,1424252980,0.003,0.0,0.0,0.0,0.0,0,2,,, ,33,33,18,18,18,18,33,Generic,1
175.45.176.0,47439,149.171.126.10,53,udp,INT,1E-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260886,1424260886,0.001,0.0,0.0,0.0,0.0,0,2,,, ,25,25,8,8,8,8,25,Generic,1
175.45.176.0,0,149.171.126.17,0,ipcomp,INT,1E-06,200,0,254,0,0,0,-,800000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251640,1424251640,0.001,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,2,2,2,4,DoS,1
59.166.0.5,64239,149.171.126.4,32528,tcp,FIN,0.002717,320,1892,31,29,1,2,ftp-data,786161.1875,4875966.0,6,8,255,255,4233642438,2092036599,53,237,0,0,26.508141,0.502319,1424261198,1424261198,0.4786,0.318857,0.000608,0.000482,0.000126,0,0,,, ,3,3,6,8,1,1,4,,0
175.45.176.0,1043,149.171.126.10,53,udp,INT,3E-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260695,1424260695,0.003,0.0,0.0,0.0,0.0,0,2,,, ,29,29,17,17,17,17,29,Generic,1
175.45.176.2,14148,149.171.126.11,111,udp,INT,1E-06,168,0,254,0,0,0,-,672000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424252744,1424252744,0.001,0.0,0.0,0.0,0.0,0,2,,, ,3,1,1,2,1,1,1, Reconnaissance ,1
149.171.126.14,47439,175.45.176.1,53,udp,INT,2E-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424252037,1424252037,0.002,0.0,0.0,0.0,0.0,0,0,,, ,37,37,37,37,37,17,37,,0
59.166.0.4,34796,149.171.126.3,111,udp,CON,0.004446,568,312,31,29,0,0,-,766531.75,421052.6563,4,4,0,0,0,0,142,78,0,0,1.631769,1.371316,1424258263,1424258263,1.160333,0.973667,0.0,0.0,0.0,0,0,,, ,8,6,3,4,1,1,2,,0
59.166.0.4,65299,149.171.126.5,143,tcp,FIN,2.183925,7804,15566,31,29,30,32,-,28356.28711,56569.71094,122,126,255,255,2234141847,101122262,64,124,0,0,1084.072547,1066.274294,1424251631,1424251633,18.046141,17.467048,0.000654,0.00054,0.000114,0,0,,, ,7,5,5,6,1,1,1,,0
59.166.0.5,9011,149.171.126.6,45710,tcp,FIN,0.337329,5024,2976,31,29,7,7,-,114570.6406,68064.11719,26,28,255,255,4254768613,4258075862,193,106,0,0,861.677256,22.910758,1424256520,1424256521,13.48088,12.452852,0.001237,0.001099,0.000138,0,0,,, ,8,9,2,1,1,1,4,,0
59.166.0.2,61609,149.171.126.2,5190,tcp,FIN,0.027025,1958,2308,31,29,6,6,-,553265.5,654801.125,22,24,255,255,1612337042,3762235478,89,96,0,0,160.730764,142.942662,1424252242,1424252242,1.33395,1.148435,0.000726,0.000602,0.000124,0,0,,, ,2,2,1,3,2,1,1,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,3E-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424261299,1424261299,0.003,0.0,0.0,0.0,0.0,0,0,,, ,16,16,16,16,16,16,16,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,8E-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260599,1424260599,0.008,0.0,0.0,0.0,0.0,0,2,,, ,41,41,29,29,29,13,41,Generic,1
175.45.176.2,0,149.171.126.17,0,cftp,INT,3E-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258800,1424258800,0.003,0.0,0.0,0.0,0.0,0,2,,, ,2,2,1,2,1,1,2,DoS,1
175.45.176.1,1043,149.171.126.14,53,udp,INT,4E-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251619,1424251619,0.004,0.0,0.0,0.0,0.0,0,2,,, ,34,34,16,16,16,16,34,Generic,1
175.45.176.0,1043,149.171.126.10,53,udp,INT,8E-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259070,1424259070,0.008,0.0,0.0,0.0,0.0,0,2,,, ,31,31,31,32,31,23,31,Generic,1
149.171.126.14,1043,175.45.176.1,53,udp,INT,7E-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255046,1424255046,0.007,0.0,0.0,0.0,0.0,0,0,,, ,28,28,23,23,23,23,28,,0
175.45.176.0,0,149.171.126.17,0,mobile,INT,4E-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251613,1424251613,0.004,0.0,0.0,0.0,0.0,0,2,,, ,6,6,3,3,3,3,6, Reconnaissance ,1
175.45.176.1,47439,149.171.126.14,53,udp,INT,1E-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251718,1424251718,0.001,0.0,0.0,0.0,0.0,0,2,,, ,26,26,7,7,6,6,27,Generic,1
,46189,149.171.126.18,8089,tcp,CON,1.690175,172,86,254,60,1,1,-,610.587646,203.529221,4,2,255,255,2964007951,3634673555,43,43,0,0,30852.7603,0.0,1424256635,1424256636,563.391667,0.003,1.690154,0.452937,1.237217,0,0,,, ,6,4,1,1,1,1,3,,0
59.166.0.6,23896,149.171.126.6,53,udp,CON,0.001121,146,178,31,29,0,0,dns,520963.4063,635147.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424253702,1424253702,0.009,0.007,0.0,0.0,0.0,0,0,,, ,1,1,1,1,1,1,1,,0
59.166.0.1,25210,149.171.126.7,111,udp,CON,0.004906,568,304,31,29,0,0,-,694659.5625,371789.625,4,4,0,0,0,0,142,76,0,0,1.80713,1.582034,1424259955,1424259955,1.283333,1.122667,0.0,0.0,0.0,0,0,,, ,3,3,2,1,1,1,2,,0
59.166.0.0,1307,149.171.126.9,6881,tcp,FIN,0.021587,1540,1644,31,29,4,4,-,535136.875,575531.5625,16,18,255,255,2582235027,438313935,96,91,0,0,89.733827,2.435509,1424255043,1424255043,1.418933,1.243471,0.000553,0.000443,0.00011,0,0,,, ,9,6,6,8,6,1,6,,0
149.171.126.10,1043,175.45.176.0,53,udp,INT,8E-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260135,1424260135,0.008,0.0,0.0,0.0,0.0,0,0,,, ,36,36,18,18,18,18,36,,0
59.166.0.3,55993,149.171.126.1,53,udp,CON,0.001049,146,178,31,29,0,0,dns,556720.6875,678741.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424254706,1424254706,0.009,0.008,0.0,0.0,0.0,0,0,,, ,1,1,8,3,1,1,1,,0
149.171.126.10,1043,175.45.176.0,53,udp,INT,3E-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259794,1424259794,0.003,0.0,0.0,0.0,0.0,0,0,,, ,18,18,18,18,18,18,18,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,8E-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253871,1424253871,0.008,0.0,0.0,0.0,0.0,0,2,,, ,29,29,5,5,5,5,29,Generic,1
59.166.0.7,19997,149.171.126.6,53,udp,CON,0.001056,146,178,31,29,0,0,dns,553030.3125,674242.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424254663,1424254663,0.009,0.007,0.0,0.0,0.0,0,0,,, ,1,1,1,1,1,1,2,,0
59.166.0.7,39382,149.171.126.4,143,tcp,FIN,0.64806,7816,15582,31,29,30,32,-,95694.83594,190834.1719,122,126,255,255,94248911,95266676,64,124,0,0,421.84577,419.594978,1424255941,1424255941,5.352496,5.222524,0.000577,0.000464,0.000113,0,0,,, ,2,3,1,2,1,1,1,,0
59.166.0.5,64108,149.171.126.0,53,udp,CON,0.001039,146,178,31,29,0,0,dns,562078.9375,685274.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424255908,1424255908,0.008,0.007,0.0,0.0,0.0,0,0,,, ,6,3,2,9,2,1,2,,0
,0,149.171.126.14,0,ospf,INT,59.810604,35360,0,254,0,0,0,-,4693.214355,0.0,130,0,0,0,0,0,272,0,0,0,553.786375,0.0,1424261067,1424261127,463.647906,0.0,0.0,0.0,0.0,0,2,,, ,2,2,2,2,2,2,2,Exploits,1
175.45.176.2,0,149.171.126.17,0,qnx,INT,8E-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258824,1424258824,0.008,0.0,0.0,0.0,0.0,0,2,,, ,7,7,3,4,3,3,8,Backdoor,1
59.166.0.4,62036,149.171.126.6,25,tcp,FIN,0.021781,37484,3380,31,29,18,8,smtp,13503145.0,1212065.625,52,42,255,255,1302943789,1304049910,721,80,0,0,22.788186,0.84411,1424256752,1424256752,0.420294,0.514537,0.000817,0.000682,0.000135,0,0,,, ,1,1,2,3,1,1,1,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253330,1424253330,0.009,0.0,0.0,0.0,0.0,0,2,,, ,27,27,1,1,1,1,27,Generic,1
59.166.0.4,34349,149.171.126.6,21,tcp,FIN,2.908639,2934,3742,31,29,11,15,ftp,7915.72998,10102.31934,52,54,255,255,3444159418,1305245648,56,69,0,0,4135.898506,133.257891,1424260216,1424260219,57.025784,54.870395,0.000647,0.000503,0.000144,0,0,,1.0,1,1,1,5,3,1,1,4,,0
59.166.0.8,3517,149.171.126.2,25,tcp,FIN,0.494895,37250,3380,31,29,18,8,smtp,590573.75,53344.64844,52,42,255,255,1101203257,3247503261,716,80,0,0,779.475858,25.144771,1424261841,1424261841,9.697333,12.057878,0.000658,0.000517,0.000141,0,0,,, ,1,1,1,7,1,1,2,,0
59.166.0.1,52083,149.171.126.5,55319,tcp,FIN,0.021937,2558,23268,31,29,7,14,-,909878.3125,8283357.0,40,42,255,255,949447338,949753556,64,554,0,0,43.254773,41.424417,1424257628,1424257628,0.584459,0.543872,0.000863,0.000718,0.000145,0,0,,, ,6,5,3,7,1,1,1,,0
59.166.0.4,20482,149.171.126.8,62474,tcp,FIN,0.077164,3614,45422,31,29,7,24,-,368461.9688,4633248.5,60,62,255,255,3941943739,3966884567,60,733,0,0,77.109627,74.738954,1424258814,1424258814,1.302051,1.256197,0.000655,0.000533,0.000122,0,0,,, ,2,5,6,4,1,1,2,,0
149.171.126.10,1043,175.45.176.0,53,udp,INT,5E-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259048,1424259048,0.005,0.0,0.0,0.0,0.0,0,0,,, ,41,41,31,31,31,15,41,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254636,1424254636,0.009,0.0,0.0,0.0,0.0,0,2,,, ,27,27,11,11,11,11,28,Generic,1
59.166.0.4,12398,149.171.126.3,53,udp,CON,0.001135,146,178,31,29,0,0,dns,514537.4375,627312.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424255705,1424255705,0.001,0.001,0.0,0.0,0.0,0,0,,, ,3,4,2,4,3,1,1,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,1E-05,264,0,60,0,0,0,dns,105600000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424252989,1424252989,0.01,0.0,0.0,0.0,0.0,0,0,,, ,41,41,23,23,23,23,41,,0
59.166.0.9,57307,149.171.126.8,25,tcp,FIN,0.040794,37262,3380,31,29,18,8,smtp,7166936.5,647154.0,52,42,255,255,3626495418,1477995992,717,80,0,0,63.799667,2.009796,1424261451,1424261451,0.793078,0.981732,0.000678,0.000538,0.00014,0,0,,, ,1,1,1,3,1,1,1,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251720,1424251720,0.009,0.0,0.0,0.0,0.0,0,2,,, ,26,26,4,4,4,4,27,Generic,1
59.166.0.3,24400,149.171.126.3,22522,tcp,FIN,0.03884,4238,61238,31,29,7,30,-,860968.0625,12443049.0,72,74,255,255,1503123836,3669771538,59,828,0,0,32.067319,31.25073,1424261716,1424261716,0.550443,0.525534,0.000601,0.000473,0.000128,0,0,,, ,2,7,4,7,1,1,2,,0
,47439,149.171.126.10,53,udp,INT,6E-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260879,1424260879,0.006,0.0,0.0,0.0,0.0,0,2,,, ,17,17,8,8,8,8,17,Generic,1
149.171.126.14,1043,175.45.176.1,53,udp,INT,8E-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253386,1424253386,0.008,0.0,0.0,0.0,0.0,0,0,,, ,43,43,42,42,42,23,43,,0
59.166.0.3,7057,149.171.126.8,56584,tcp,FIN,0.009957,2334,16528,31,29,7,12,-,1823842.625,12930803.0,36,38,255,255,2211153147,2211436304,65,435,0,0,15.91178,14.776247,1424260651,1424260651,0.275571,0.253486,0.000732,0.000572,0.00016,0,0,,, ,2,5,2,8,1,1,2,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,7E-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260481,1424260481,0.007,0.0,0.0,0.0,0.0,0,0,,, ,37,37,37,37,37,19,37,,0
59.166.0.3,29852,149.171.126.7,58202,tcp,FIN,0.032082,4584,2560,31,29,7,7,-,1079733.25,606446.0,18,20,255,255,4263636758,2117200733,255,128,0,0,215.80211,6.037973,1424254806,1424254806,1.868647,1.662053,0.000617,0.0005,0.000117,0,0,,, ,8,5,5,6,1,1,3,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251874,1424251874,0.009,0.0,0.0,0.0,0.0,0,2,,, ,17,17,17,17,17,10,17,Generic,1
59.166.0.2,6745,149.171.126.7,2858,tcp,FIN,0.019888,3390,41008,31,29,7,22,-,1339501.125,16211182.0,56,58,255,255,423038196,423344864,61,707,0,0,19.998568,19.170808,1424256224,1424256224,0.355873,0.338368,0.000724,0.000591,0.000133,0,0,,, ,8,4,3,1,1,1,1,,0
59.166.0.4,25475,149.171.126.7,62131,tcp,FIN,0.033019,2854,29122,31,29,7,17,-,676459.0625,6908992.0,46,48,255,255,57792341,2203478140,62,607,0,0,53.264068,51.593136,1424261095,1424261095,0.741273,0.70437,0.000756,0.000609,0.000147,0,0,,, ,2,4,3,4,1,1,1,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,7E-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255066,1424255066,0.007,0.0,0.0,0.0,0.0,0,0,,, ,42,42,42,42,42,23,42,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424255056,1424255056,0.009,0.0,0.0,0.0,0.0,0,2,,, ,30,30,5,5,5,5,30,Generic,1
59.166.0.9,37769,149.171.126.3,44976,tcp,FIN,0.003944,8928,424,31,29,4,1,ftp-data,16817444.0,752535.4375,14,8,255,255,3579722296,1444521650,638,53,0,0,16.536348,1.058163,1424259243,1424259243,0.303385,0.478286,0.000602,0.000475,0.000127,0,0,,, ,3,3,5,7,1,1,4,,0
59.166.0.5,65457,149.171.126.3,1098,tcp,FIN,0.010915,2334,16822,31,29,7,12,-,1663765.5,12005497.0,36,38,255,255,2151566764,11493468,65,443,0,0,0.0,17.192916,1424253804,1424253804,0.310412,0.280865,0.000664,0.00052,0.000144,0,0,,, ,5,4,3,9,1,1,2,,0
59.166.0.5,4681,149.171.126.4,49521,tcp,FIN,0.383374,4536,3080,31,29,7,7,-,91273.79688,62142.97266,28,30,255,255,2958396592,1283420643,162,103,0,0,762.573254,19.067658,1424256766,1424256766,14.187593,13.197311,0.00082,0.000649,0.000171,0,0,,, ,13,3,3,7,1,1,3,,0
59.166.0.6,24982,149.171.126.1,10394,tcp,FIN,0.00662,424,8824,31,29,1,4,ftp-data,448338.375,9775226.0,8,12,255,255,3580812401,1438119140,53,735,0,0,55.382399,30.322853,1424261301,1424261301,0.899286,0.558091,0.000585,0.000468,0.000117,0,0,,, ,1,1,4,4,1,1,3,,0
59.166.0.4,4285,149.171.126.5,46436,tcp,FIN,0.023525,3614,45422,31,29,7,24,-,1208586.625,15197450.0,60,62,255,255,3955821156,3972321066,60,733,0,0,21.531787,20.658727,1424258939,1424258939,0.400224,0.390271,0.000618,0.000496,0.000122,0,0,,, ,6,6,3,7,1,1,2,,0
59.166.0.0,1291,149.171.126.4,54779,udp,CON,0.065178,528,304,31,29,0,0,-,48605.35938,27984.90234,4,4,0,0,0,0,132,76,0,0,9.908923,24.513506,1424257877,1424257877,7.009667,17.341666,0.0,0.0,0.0,0,0,,, ,13,5,2,2,1,1,3,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261022,1424261022,0.009,0.0,0.0,0.0,0.0,0,2,,, ,20,20,17,16,16,16,21,Generic,1
,23737,149.171.126.2,53,udp,CON,0.00102,146,178,31,29,0,0,dns,572549.0625,698039.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424250725,1424250725,0.009,0.007,0.0,0.0,0.0,0,0,,, ,3,4,2,6,2,2,2,,0
59.166.0.8,44022,149.171.126.2,53,udp,CON,0.001047,132,164,31,29,0,0,dns,504297.9688,626552.0,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1424254695,1424254695,0.009,0.007,0.0,0.0,0.0,0,0,,, ,2,1,9,17,2,1,7,,0
59.166.0.3,36506,149.171.126.8,53,udp,CON,0.001055,130,162,31,29,0,0,dns,492891.0,614218.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424259831,1424259831,0.009,0.009,0.0,0.0,0.0,0,0,,, ,1,1,13,6,1,1,4,,0
59.166.0.2,52104,149.171.126.2,6881,tcp,FIN,0.073508,4276,117444,31,29,8,45,-,458399.0625,12663329.0,66,108,255,255,181727666,185194619,65,1087,0,0,65.159163,43.336518,1424261954,1424261954,1.161667,0.68214,0.000653,0.000516,0.000137,0,0,,, ,17,15,9,21,13,1,7,,0
175.45.176.3,7587,149.171.126.19,445,tcp,FIN,1.768109,1106,792,254,252,3,2,-,4587.952637,3226.04541,12,10,255,255,3997448653,1896012174,92,79,0,0,10382.24136,263.576375,1424256093,1424256095,160.646361,184.787219,0.201135,0.105022,0.096113,0,1,,, ,2,2,1,1,1,1,2, Fuzzers ,1
175.45.176.1,47439,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253613,1424253613,0.009,0.0,0.0,0.0,0.0,0,2,,, ,28,28,17,17,17,17,28,Generic,1
59.166.0.5,6695,149.171.126.9,6881,tcp,FIN,0.018051,1540,1644,31,29,4,4,-,639964.5625,688272.125,16,18,255,255,2589168881,2594163018,96,91,0,0,71.974221,2.047553,1424261858,1424261858,1.182933,1.035,0.000582,0.000453,0.000129,0,0,,, ,9,7,8,11,6,1,7,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,7E-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259565,1424259565,0.007,0.0,0.0,0.0,0.0,0,2,,, ,25,25,16,17,16,16,25,Generic,1
59.166.0.5,27386,149.171.126.4,53,udp,CON,0.001129,146,178,31,29,0,0,dns,517271.9375,630646.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424260297,1424260297,0.033,0.007,0.0,0.0,0.0,0,0,,, ,1,2,3,1,1,1,4,,0
149.171.126.10,1043,175.45.176.0,53,udp,INT,9E-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259090,1424259090,0.009,0.0,0.0,0.0,0.0,0,0,,, ,40,40,21,21,21,11,40,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,7E-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424258973,1424258973,0.007,0.0,0.0,0.0,0.0,0,0,,, ,32,32,14,14,14,14,32,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259161,1424259161,0.009,0.0,0.0,0.0,0.0,0,2,,, ,33,33,16,16,16,16,33,Generic,1
175.45.176.0,5796,149.171.126.15,80,tcp,FIN,0.238979,842,12934,62,252,2,6,http,25374.61523,405926.875,10,16,255,255,1780025088,4011210998,84,808,1,5883,1294.349353,1320.492865,1424257816,1424257816,26.553222,13.7646,0.067508,0.020973,0.046535,0,1,1.0,, ,2,1,1,1,1,1,1,Exploits,1
